"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","150u","Capacitor_THT:CP_Radial_D12.5mm_P7.50mm",""
"2","D1","1","blue","LED_THT:LED_D3.0mm_Horizontal_O3.81mm_Z6.0mm",""
"3","J1","1","Raspberry_Pi_2_3","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"4","J3","1","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"5","Q1","1","BC557","Package_TO_SOT_THT:TO-92_Inline",""
"6","Q2, Q3, Q4, Q5, Q6","5","BC547","Package_TO_SOT_THT:TO-92_Inline",""
"7","R1, R7","2","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"8","R2, R3, R8, R14","4","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"9","R4, R5, R6","3","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"10","R9","1","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"11","R10","1","1.5k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"12","R12, R13, R15","3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
